Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,No,Non-Travel,1334,Research & Development,1,1,Medical,1,1,4,Female,75,3,2,Research Scientist,4,Married,6976,21629,1,Y,No,12,3,3,80,0,13,1,3,11,6,3,0
31,No,Travel_Rarely,1150,Human Resources,4,3,Marketing,1,2,4,Male,62,3,1,Human Resources,3,Married,1567,22617,3,Y,Yes,14,4,2,80,2,8,2,2,2,2,2,2
46,No,Travel_Rarely,746,Research & Development,6,3,Life Sciences,1,3,4,Female,73,2,1,Research Scientist,4,Married,10930,9153,3,Y,No,16,3,3,80,0,18,2,1,11,1,2,6
37,Yes,Travel_Rarely,282,Research & Development,15,1,Medical,1,4,3,Female,54,3,2,Manager,2,Married,5630,11293,4,Y,No,16,3,2,80,0,16,5,4,2,2,6,1
33,No,Travel_Rarely,698,Sales,1,3,Life Sciences,1,5,4,Male,64,2,5,Sales Representative,4,Divorced,12521,15111,1,Y,Yes,19,3,3,80,1,7,3,4,0,0,3,0
37,No,Non-Travel,347,Sales,3,3,Life Sciences,1,6,4,Female,64,3,1,Sales Executive,2,Divorced,2559,10174,1,Y,No,21,3,2,80,3,5,2,2,5,1,7,0
34,No,Travel_Frequently,864,Sales,15,2,Life Sciences,1,7,1,Female,94,3,1,Sales Representative,4,Married,3782,26863,1,Y,No,13,3,2,80,0,12,4,4,6,1,2,0
38,No,Travel_Rarely,542,Research & Development,9,3,Marketing,1,8,3,Male,72,4,2,Laboratory Technician,3,Single,1158,3129,4,Y,Yes,15,3,2,80,3,21,5,4,19,7,0,1
43,No,Non-Travel,727,Research & Development,3,1,Medical,1,9,2,Male,97,1,2,Research Director,1,Single,3049,25575,2,Y,No,14,3,3,80,0,10,3,2,9,0,0,4
36,Yes,Non-Travel,569,Research & Development,16,1,Marketing,1,10,3,Female,91,3,2,Laboratory Technician,2,Single,4401,17146,3,Y,No,11,3,2,80,0,30,2,3,17,2,0,7
33,Yes,Non-Travel,1066,Sales,6,3,Medical,1,11,3,Male,60,1,2,Manager,3,Married,1513,26034,3,Y,No,17,3,4,80,1,17,6,3,16,2,1,3
26,No,Non-Travel,1100,Human Resources,6,2,Life Sciences,1,12,3,Female,57,2,2,Manager,4,Married,3878,26493,2,Y,No,17,3,2,80,0,19,0,4,6,0,1,3
42,Yes,Travel_Rarely,840,Research & Development,29,1,Marketing,1,13,3,Male,40,3,2,Laboratory Technician,1,Divorced,1491,19627,0,Y,No,11,4,4,80,0,19,1,4,5,0,0,2
40,No,Travel_Rarely,867,Sales,26,3,Technical Degree,1,14,4,Male,61,3,4,Sales Representative,3,Married,4211,16777,1,Y,Yes,13,3,3,80,0,18,6,1,5,5,1,0
26,No,Travel_Rarely,328,Sales,3,5,Other,1,15,3,Female,95,4,1,Sales Executive,4,Single,9781,9333,2,Y,No,13,3,3,80,0,33,4,3,26,7,1,0
44,No,Travel_Rarely,862,Sales,1,4,Medical,1,16,4,Male,89,3,1,Sales Executive,3,Single,4812,10725,2,Y,Yes,11,3,2,80,0,18,2,4,10,1,2,5
26,Yes,Travel_Frequently,1406,Sales,3,4,Marketing,1,17,2,Male,80,4,3,Manager,4,Divorced,13292,22875,0,Y,No,14,3,3,80,1,2,1,4,0,0,1,0
46,No,Travel_Rarely,615,Research & Development,1,4,Marketing,1,18,3,Female,88,2,3,Manager,1,Married,7877,22133,0,Y,Yes,11,3,3,80,1,23,1,2,10,5,1,2
43,Yes,Travel_Rarely,313,Research & Development,1,5,Life Sciences,1,19,3,Female,46,2,1,Research Scientist,3,Married,11035,22694,3,Y,Yes,15,4,3,80,3,3,4,3,1,1,2,1
40,No,Non-Travel,1161,Sales,4,4,Life Sciences,1,20,2,Male,97,2,5,Manager,4,Married,3105,2879,1,Y,No,15,3,1,80,1,9,2,4,4,4,13,4
33,Yes,Non-Travel,650,Research & Development,25,3,Life Sciences,1,21,3,Female,67,4,3,Research Scientist,3,Single,3061,16417,6,Y,No,16,4,4,80,1,11,1,2,1,1,2,0
42,No,Travel_Rarely,871,Sales,18,3,Life Sciences,1,22,3,Male,93,2,2,Sales Representative,3,Single,6047,23897,4,Y,No,16,3,4,80,1,17,2,3,8,2,3,5
46,No,Travel_Rarely,1365,Sales,6,2,Medical,1,23,3,Female,32,2,2,Sales Representative,4,Married,1907,21080,3,Y,No,20,3,3,80,2,14,3,4,14,1,1,3
42,Yes,Travel_Frequently,1489,Research & Development,7,3,Human Resources,1,24,3,Male,83,3,2,Manager,2,Married,6520,14589,1,Y,Yes,12,3,3,80,0,7,3,1,2,2,1,2
30,Yes,Non-Travel,532,Research & Development,1,5,Medical,1,25,2,Male,73,2,1,Research Scientist,4,Married,4046,8711,4,Y,Yes,12,3,3,80,0,11,3,4,0,0,7,0
39,Yes,Travel_Rarely,1216,Research & Development,2,3,Marketing,1,26,2,Female,59,1,2,Research Scientist,4,Married,10916,22787,2,Y,No,17,3,2,80,2,4,4,2,2,0,4,2
47,No,Travel_Rarely,1312,Sales,1,4,Marketing,1,27,3,Female,83,2,2,Manager,1,Divorced,7388,3452,3,Y,Yes,14,3,1,80,0,17,3,1,7,3,2,6
56,No,Non-Travel,361,Research & Development,12,3,Life Sciences,1,28,1,Female,77,1,3,Research Scientist,4,Divorced,9490,12410,5,Y,No,19,4,3,80,3,5,3,2,2,2,1,0
35,Yes,Travel_Rarely,451,Research & Development,1,3,Life Sciences,1,29,2,Male,64,3,2,Research Director,2,Married,3125,11459,2,Y,No,17,3,4,80,1,10,4,1,2,2,0,2
44,Yes,Travel_Rarely,808,Sales,18,3,Medical,1,30,1,Female,97,3,2,Sales Representative,3,Married,9218,12905,0,Y,Yes,21,3,1,80,0,3,1,1,1,1,0,0
